cid;title;author;genre;year;source
POR0022;Noites de Sintra;Alberto Pimentel;Fiction;1892;eltec
POR0046;Os selvagens;Francisco Gomes de Amorim;Fiction;1875;eltec
POR0054;Amanhã;Abel Botelho;Fiction;1896;eltec
POR0003;O Monge de Cister;Alexandre Herculano;Classic;1848;eltec
POR0091;El-rei dinheiro;Arnaldo Gama;Fiction;1876;eltec
obra_6;Noite na taverna;Álvares de Azevedo;Fiction;1855;obras
obra_20;Contos fora da moda;Artur Azevedo;Classic;1894;obras
obra_26;A Escrava Isaura;Bernardo Guimarães;Fiction;1875;obras
obra_27;O ermitão do Muquém;Bernardo Guimarães;Romance;1864;obras
obra_28;O seminarista;Bernardo Guimarães;Fiction;1872;obras
obra_0;Aos vinte anos;Aluísio Azevedo;Classic;1865;obras
obra_1;Demônios;Aluísio Azevedo;Fiction;1893;obras
obra_9;Sonetos e poemas;Alberto de Oliveira;Fiction;1885;obras
1794;A Relíquia;José Maria Eça de Queirós;Fiction;1887;pportal
16524;Folhas Caídas;João Batista da Silva Leitão de Almeida Garrett;Short-Story;1853;pportal
queiroz1887;A Relíquia;Eca de Queiroz;Fiction;1887;colonia
POR0050;A conquista de Lisboa;Carlos Pinto de Almeida;Fiction;1866;eltec
1756;A Casadinha de Fresco;Artur Azevedo;Classic;1904;pportal
16999;A Confissão de Lúcio;Mário de Sá-Carneiro;Classic;1913;pportal
16641;A Metamorfose;Franz Kafka;Classic;1915;pportal
2015;A Retirada da Laguna;Visconde de Taunay;Fiction;1913;pportal
17755;A divina quimera;Eduardo Guimaraens;Fiction;1978;pportal
7552;A falência;Júlia Lopes de Almeida;Fiction;1901;pportal
16681;A intrusa;Júlia Lopes de Almeida;Fiction;1905;pportal
7441;A tia Aninha;Artur Azevedo;Classic;1904;pportal
16619;Alves & Cia.;José Maria Eça de Queirós;Fiction;1925;pportal
7443;As Asneiras do Guedes;Artur Azevedo;Classic;1904;pportal
17373;As Forças Caudinas;Machado de Assis;Fiction;1956;pportal
7446;As Paradas;Artur Azevedo;Classic;1904;pportal
7447;Assunto para um Conto;Artur Azevedo;Classic;1904;pportal
16926;Balas de Estalo;Machado de Assis;Fiction;1998;pportal
7617;As Religiões no Rio;João do Rio;Classic;1904;pportal
16516;Brás, Bexiga e Barra Funda;Antônio de Alcântara Machado;Fiction;1927;pportal
7450;Cavação;Artur Azevedo;Classic;1904;pportal
7453;Como o Diabo as Arma!;Artur Azevedo;Classic;1904;pportal
82151;Como quem num dia de verão abre a porta de casa;Alberto Caeiro da Silva;Fiction;1914;pportal
7454;Conjugo Vobis;Artur Azevedo;Classic;1904;pportal
1829;Contos Gauchescos;João Simões Lopes Neto;Fiction;1912;pportal
1796;Contrastes e Confrontos;Euclides da Cunha;Fiction;1907;pportal
1887;Críticas Teatrais;Machado de Assis;Classic;1938;pportal
2076;Dentro da noite;João do Rio;Fiction;1910;pportal
7456;Denúncia Involuntária;Artur Azevedo;Classic;1904;pportal
16740;Do Livro do Desassossego;Fernando Pessoa;Classic;1982;pportal
7458;Duas Apostas;Artur Azevedo;Classic;1904;pportal
7461;Encontros Reveladores;Artur Azevedo;Classic;1904;pportal
16937;Esaú e Jacó;Machado de Assis;Fiction;1904;pportal
16531;Girândola de Amores;Aluísio Azevedo;Classic;1960;pportal
7463;História de um Dominó;Artur Azevedo;Classic;1904;pportal
7464;História de um Soneto;Artur Azevedo;Classic;1904;pportal
28811;Inéditos e esparsos;Júlio Dinis;Fiction;1910;pportal
17942;Jogo do Bicho;Machado de Assis;Fiction;1904;pportal
1884;Linha Reta e Linha Curva;Machado de Assis;Short-Story;1993;pportal
7554;Livro das donas e donzelas;Júlia Lopes de Almeida;Fiction;1906;pportal
24204;Livro do Desassossego;Fernando Pessoa;Fiction;1982;pportal
16682;Livros das Donas e Donzelas;Júlia Lopes de Almeida;Fiction;1906;pportal
1955;Marcha Fúnebre;Machado de Assis;Fiction;1906;pportal
16838;Maria Dusá;Lindolfo Rocha;Fiction;1910;pportal
38020;Mocidade morta;Luis Gonzaga Duque Estrada;Classic;1900;pportal
43455;Notas do dia: commemorando;Afonso Arinos;Fiction;1921;pportal
15729;O Banqueiro Anarquista;Fernando Pessoa;Fiction;1922;pportal
7542;O Brasil anedótico;Humberto de Campos;Fiction;1927;pportal
7526;O Duplo;Coelho Neto;Romance;1904;pportal
16662;O Monstro e Outros Contos;Humberto de Campos;Fiction;1932;pportal
7539;O Monstro e Outros contos;Humberto de Campos;Fiction;1932;pportal
7415;O Touro Negro;Aluísio Azevedo;Classic;1938;pportal
16545;O Vaqueano;Apolinário José Gomes Porto-Alegre;Fiction;1973;pportal
17490;O almada;Machado de Assis;Fiction;1910;pportal
17471;O escrivão Coimbra;Machado de Assis;Classic;1907;pportal
4981;Os Pobres;Raul Brandão;Fiction;1906;pportal
1951;Pai Contra Mãe;Machado de Assis;Short-Story;1906;pportal
2030;Peru versus Bolívia;Euclides da Cunha;Classic;1907;pportal
1960;Pílades e Orestes;Machado de Assis;Short-Story;1903;pportal
16974;Relíquias da Casa Velha;Machado de Assis;Classic;1906;pportal
16975;Suje-Se, Gordo!;Machado de Assis;Fiction;1906;pportal
19650;Tropas e boiadas;Hugo de Carvalho Ramos;Fiction;1917;pportal
1956;Um Capitão de Voluntários;Machado de Assis;Fiction;1906;pportal
16837;Um Que Vendeu a Sua Alma;Afonso Henriques de Lima Barreto;Fiction;1913;pportal
17914;Um incêndio;Machado de Assis;Fiction;1906;pportal
7515;Uma Carga de Sono;Artur Azevedo;Classic;1902;pportal
7418;A Almanjarra;Artur Azevedo;Classic;1904;pportal
2222;A Capital Federal;Artur Azevedo;Classic;1903;pportal
7429;A Dívida;Artur Azevedo;Classic;1904;pportal
7529;A Ilustre Casa de Ramires;José Maria Eça de Queirós;Fiction;1900;pportal
2125;A Intrusa;Júlia Lopes de Almeida;Fiction;1905;pportal
7433;A Melhor Amiga;Artur Azevedo;Classic;1904;pportal
16924;A Semana;Machado de Assis;Fiction;1910;pportal
7451;Chico;Artur Azevedo;Classic;1904;pportal
2742;Contos;José Maria Eça de Queirós;Fiction;1902;pportal
2140;Contos de Lima Barreto;Afonso Henriques de Lima Barreto;Short-Story;1911;pportal
7457;Dona Eulália;Artur Azevedo;Classic;1904;pportal
7462;Fatalidade;Artur Azevedo;Classic;1904;pportal
7417;Fritzmac;Artur Azevedo;Classic;1904;pportal
16661;Grãos de mostarda;Humberto de Campos;Fiction;1926;pportal
1790;A Cidade e as Serras;José Maria Eça de Queirós;Classic;1901;pportal
16951;Memorial de Aires;Machado de Assis;Classic;1908;pportal
16544;Memorial de um Passageiro de Bonde;Amadeu Amaral;Romance;1912;pportal
7377;Memorial de um passageiro de bonde;Amadeu Amaral;Romance;1912;pportal
16821;Milagre do Natal;Afonso Henriques de Lima Barreto;Fiction;1920;pportal
7380;Novela e Conto;Amadeu Amaral;Romance;1929;pportal
16822;Numa e a Ninfa;Afonso Henriques de Lima Barreto;Fiction;1915;pportal
16825;O Cemitério dos Vivos;Afonso Henriques de Lima Barreto;Fiction;1920;pportal
16828;O Homem que Sabia Javanês;Afonso Henriques de Lima Barreto;Short-Story;1911;pportal
1861;O Homem que Sabia Javanês e Outros Contos;Afonso Henriques de Lima Barreto;Short-Story;1911;pportal
16832;O Único Assassinato de Cazuza;Afonso Henriques de Lima Barreto;Fiction;1911;pportal
16834;Quase Ela deu o sim, mas...;Afonso Henriques de Lima Barreto;Fiction;1911;pportal
1865;Recordações do Escrivão Isaías Caminha;Afonso Henriques de Lima Barreto;Fiction;1909;pportal
16623;Singularidades de uma Rapariga Loura;José Maria Eça de Queirós;Fiction;1902;pportal
2171;Vida Urbana;Afonso Henriques de Lima Barreto;Fiction;1956;pportal
2144;Momento literário;João do Rio;Classic;1907;pportal
16549;Poemas de Ricardo Reis;Fernando Pessoa;Classic;1934;pportal
almeida1901;A Falencia;Julia Lopes de Almeida;Fiction;1901;colonia
almeida1905;A Intrusa;Julia Lopes de Almeida;Fiction;1905;colonia
barreto1915;O Triste Fim de Policarpo Quaresma;Lima Barreto;Classic;1911;colonia
barreto1920;O Cemitério dos Vivos;Lima Barreto;Fiction;1920;colonia
barreto1948;Clara dos Anjos;Lima Barreto;Fiction;1948;colonia
machado1904;Esaú e Jacó;Machado de Assis;Fiction;1904;colonia
machado1927;Brás, Bixiga e Barra Funda;Antonio de Alcantara Machado;Fiction;1927;colonia
rocha1910;Maria Dusá;Lindolfo Rocha;Fiction;1910;colonia
machado1908;Memorial de Aires;Machado de Assis;Classic;1908;colonia
POR0008;A Ilustre Casa de Ramires;Eça de Queirós;Fiction;1900;eltec
POR0013;Os Pobres;Raul Brandão;Fiction;1906;eltec
POR0019;A Confissão de Lúcio;Mário de Sá Carneiro;Classic;1913;eltec
POR0025;A Rosa do Adro;Manuel Maria Rodrigues;Romance;1973;eltec
POR0037;A Ala dos Namorados;António Campos Júnior;Fiction;1905;eltec
POR0051;Húmus;Raul Brandão;Fiction;1917;eltec
POR0052;A Farsa;Raul Brandão;Fiction;1903;eltec
POR0075;O agitador;Fortunato Correia Pinto;Fiction;1906;eltec
POR0077;O médico do deserto;José Joaquim Rodrigues de Bastos;Romance;1972;eltec
POR0099;Ambições;Ana de Castro Osório;Fiction;1903;eltec
POR0066;Inocente;Virgínia de Castro e Almeida;Fiction;1916;eltec
obra_4;O touro negro;Aluísio Azevedo;Short-Story;1938;obras
obra_14;Arca açoriana;Almiro Caldeira de Andrade;Romance;1984;obras
obra_19;O vaqueano;Apolinário Porto-Alegre;Fiction;1973;obras
obra_23;O bandido do Rio das Mortes;Bernardo Guimarães;Romance;1905;obras
obra_24;O garimpeiro;Bernardo Guimarães;Classic;1972;obras
obra_34;A bico de pena;Coelho Neto;Fiction;1904;obras
obra_36;A cidade maravilhosa;Coelho Neto;Short-Story;1928;obras
obra_12;Novelas paulistanas;Alcântara Machado;Short-Story;1961;obras
obra_17;Novela e conto;Amadeu Amaral;Romance;1976;obras
obra_38;Água de Juventa;Coelho Neto;Short-Story;1905;obras
obra_10;Brás, Bexiga e Barra Funda;Alcântara Machado;Fiction;1927;obras
obra_16;Memorial de um passageiro de bonde;Amadeu Amaral;Romance;1938;obras
7524;A Conquista;Coelho Neto;Romance;1913;pportal
1775;A Escrava Isaura;Bernardo Guimarães;Classic;1918;pportal
2126;A Luneta Mágica;Joaquim Manuel de Macedo;Romance;1944;pportal
84546;A***;Casimiro de Abreu;Classic;1972;pportal
16648;Auto da Índia;Gil Vicente;Classic;1979;pportal
16815;Clara dos Anjos;Afonso Henriques de Lima Barreto;Fiction;1956;pportal
7386;Contos avulsos;Antônio de Alcântara Machado;Fiction;1971;pportal
2078;Diário íntimo;Afonso Henriques de Lima Barreto;Fiction;1953;pportal
43347;Fabulario;Coelho Neto;Romance;1924;pportal
2092;História da Conjuração Mineira;Joaquim Norberto de Souza e Silva;Short-Story;1948;pportal
16818;Histórias e Sonhos;Afonso Henriques de Lima Barreto;Fiction;1951;pportal
16539;Lira dos Vinte Anos;Manuel Antônio Álvares de Azevedo;Fiction;1994;pportal
2105;Macário;Manuel Antônio Álvares de Azevedo;Fiction;1972;pportal
7528;Mano;Coelho Neto;Romance;1932;pportal
16820;Marginália;Afonso Henriques de Lima Barreto;Fiction;1956;pportal
1725;Mattos, Malta ou Matta?;Aluísio Azevedo;Classic;1985;pportal
1718;O Arco de Sant'ana;João Batista da Silva Leitão de Almeida Garrett;Short-Story;1900;pportal
14020;O Conde d'Abranhos;José Maria Eça de Queirós;Classic;1925;pportal
16632;O Sacrifício;Franklin Távora;Romance;1969;pportal
1866;O Subterrâneo do Morro do Castelo;Afonso Henriques de Lima Barreto;Fiction;1997;pportal
2028;O triste fim de Policarpo Quaresma;Afonso Henriques de Lima Barreto;Fiction;1943;pportal
1970;Os Bruzundangas;Afonso Henriques de Lima Barreto;Fiction;1956;pportal
2683;Os Maias;José Maria Eça de Queirós;Fiction;1900;pportal
16114;Poemas Traduzidos;Fernando Pessoa;Classic;1976;pportal
14022;Prosas Bárbaras;José Maria Eça de Queirós;Classic;1903;pportal
17844;Quase ministro;Machado de Assis;Classic;1972;pportal
brochado17th;Cartas;José da Cunha Brochado;Short-Story;1944;colonia
queiroz1888;Os Maias;Eca de Queiroz;Fiction;1900;colonia
cunha1902;Os Sertoes;Euclídes da Cunha;Short-Story;1903;colonia
POR0080;O Conde de Castel Melhor;D. João da Câmara;Fiction;1903;eltec
obra_22;Maurício;Bernardo Guimarães;Romance;1941;obras
obra_35;A capital federal;Coelho Neto;Romance;1915;obras
obra_37;A conquista;Coelho Neto;Romance;1913;obras
